trade_id,entry_datetime,exit_datetime,equity_after
180,2025-09-22 03:30:00+00:00,2025-09-22 05:03:00+00:00,84730.39973637072
182,2025-09-22 04:25:00+00:00,2025-09-22 05:03:00+00:00,84460.6156343629
183,2025-09-22 05:20:00+00:00,2025-09-22 05:35:00+00:00,84258.24973721933
184,2025-09-22 05:25:00+00:00,2025-09-22 05:35:00+00:00,84115.89205878951
185,2025-09-22 05:30:00+00:00,2025-09-22 05:37:00+00:00,83913.48970713865
186,2025-09-22 06:05:00+00:00,2025-09-22 06:20:00+00:00,84070.88059277025
187,2025-09-23 01:45:00+00:00,2025-09-23 02:07:00+00:00,83800.01351486756
189,2025-09-23 01:55:00+00:00,2025-09-23 02:07:00+00:00,83529.15341081693
188,2025-09-23 01:50:00+00:00,2025-09-23 02:10:00+00:00,83286.12418475775
190,2025-09-23 02:25:00+00:00,2025-09-23 02:30:00+00:00,83190.93967625563
193,2025-09-23 03:50:00+00:00,2025-09-23 03:55:00+00:00,83130.44545041124
192,2025-09-23 03:35:00+00:00,2025-09-23 06:44:00+00:00,82818.26835230995
191,2025-09-23 03:30:00+00:00,2025-09-23 06:45:00+00:00,82711.82402668751
194,2025-09-30 04:25:00+00:00,2025-09-30 04:29:00+00:00,82463.8223055737
195,2025-09-30 04:50:00+00:00,2025-09-30 05:00:00+00:00,82551.36716807331
196,2025-09-30 05:00:00+00:00,2025-09-30 05:03:00+00:00,82303.84700171658
197,2025-09-30 05:05:00+00:00,2025-09-30 05:15:00+00:00,82368.8070003422
199,2025-09-30 05:35:00+00:00,2025-09-30 05:57:00+00:00,82494.5202131902
200,2025-09-30 05:40:00+00:00,2025-09-30 06:05:00+00:00,82224.84301654444
198,2025-09-30 05:30:00+00:00,2025-09-30 06:08:00+00:00,81955.21277365246
203,2025-10-01 02:20:00+00:00,2025-10-01 02:29:00+00:00,81709.48016294406
201,2025-10-01 02:05:00+00:00,2025-10-01 02:35:00+00:00,81463.74759390939
202,2025-10-01 02:10:00+00:00,2025-10-01 02:37:00+00:00,81218.01525939882
204,2025-10-01 03:40:00+00:00,2025-10-01 04:03:00+00:00,81330.01806291338
205,2025-10-01 03:45:00+00:00,2025-10-01 04:32:00+00:00,81741.08285387084
206,2025-10-01 04:35:00+00:00,2025-10-01 04:51:00+00:00,81906.66941003542
207,2025-10-01 04:45:00+00:00,2025-10-01 04:51:00+00:00,82089.49904160561
208,2025-10-02 01:25:00+00:00,2025-10-02 01:38:00+00:00,82152.87945412581
209,2025-10-02 01:35:00+00:00,2025-10-02 01:43:00+00:00,82120.22698928865
210,2025-10-02 01:40:00+00:00,2025-10-02 01:43:00+00:00,81873.9028279439
211,2025-10-02 03:35:00+00:00,2025-10-02 03:55:00+00:00,81689.5616904271
213,2025-10-02 03:55:00+00:00,2025-10-02 04:05:00+00:00,81482.77261462872
212,2025-10-02 03:50:00+00:00,2025-10-02 04:06:00+00:00,81278.88421021092
214,2025-10-02 04:25:00+00:00,2025-10-02 05:05:00+00:00,81370.29167442041
215,2025-10-02 06:10:00+00:00,2025-10-02 06:20:00+00:00,81166.40282758088
216,2025-10-03 01:10:00+00:00,2025-10-03 01:11:00+00:00,81241.30479323103
217,2025-10-03 01:30:00+00:00,2025-10-03 01:47:00+00:00,80970.2002563647
218,2025-10-03 01:35:00+00:00,2025-10-03 01:47:00+00:00,80699.16938470116
219,2025-10-03 01:45:00+00:00,2025-10-03 01:47:00+00:00,80428.05412818979
220,2025-10-03 02:05:00+00:00,2025-10-03 02:41:00+00:00,80553.15779722702
221,2025-10-03 02:10:00+00:00,2025-10-03 03:10:00+00:00,80753.66608802632
222,2025-10-07 04:30:00+00:00,2025-10-07 04:39:00+00:00,80511.53445953198
223,2025-10-07 04:35:00+00:00,2025-10-07 04:40:00+00:00,80266.54972299348
224,2025-10-07 05:05:00+00:00,2025-10-07 05:13:00+00:00,80356.81938974447
